name,artist,popularity,release_year,danceability,energy,loudness,tempo,key
No Air (feat. Chris Brown),Jordin Sparks,0,2007,0.466,0.759,-4.978,160.033,8
No One,Alicia Keys,71,2007,0.644,0.549,-5.415,90.04,1
Me & U,Cassie,77,2006,0.803,0.454,-4.802,99.99,8
Irreplaceable,Beyoncé,65,2006,0.576,0.697,-4.192,175.906,10
Rude,MAGIC!,61,2013,0.743,0.807,-3.78,144.062,1
Pumped Up Kicks,Foster The People,38,2018,0.733,0.711,-5.849,127.975,5
Feel So Close - Radio Edit,Calvin Harris,82,2012,0.707,0.924,-2.842,127.937,7
Hello,Adele,1,2015,0.47,0.431,-6.129,157.98,5
Halo,Beyoncé,73,2008,0.422,0.712,-5.907,78.454,11
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,54,2016,0.803,0.631,-4.213,104.999,8
Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI,80,2015,0.782,0.685,-6.237,118.02,4
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,70,2017,0.609,0.668,-4.284,80.924,7
She Will Be Loved - Radio Mix,Maroon 5,79,2002,0.651,0.663,-5.569,102.0,0
Hollaback Girl,Gwen Stefani,22,2004,0.918,0.918,-2.218,110.024,10
Good Life,OneRepublic,0,2009,0.634,0.69,-7.804,94.988,6
Sugar,Maroon 5,17,2019,0.729,0.786,-6.348,120.068,1
Complicated,Avril Lavigne,80,2002,0.585,0.776,-5.898,77.987,5
Unwritten,Natasha Bedingfield,2,2004,0.706,0.8,-6.333,100.011,5
I Want You To Know,Zedd,0,2015,0.561,0.877,-2.215,130.003,9
Forever,Chris Brown,0,2007,0.672,0.819,-4.457,120.009,11
Burn,Ellie Goulding,62,2014,0.559,0.777,-5.031,87.016,1
Glad You Came,The Wanted,2,2011,0.698,0.844,-4.549,126.937,7
Good Time,Owl City,75,2012,0.56,0.872,-4.269,126.05,3
Beautiful People (feat. Khalid),Ed Sheeran,69,2019,0.64,0.647,-8.114,92.979,5
Call You Mine (feat. Bebe Rexha),The Chainsmokers,0,2019,0.591,0.702,-5.59,104.003,7
Cooler Than Me (feat. Big Sean),Mike Posner,58,2009,0.837,0.515,-4.065,129.001,7
Paparazzi,Lady Gaga,0,2009,0.758,0.688,-3.918,114.93,5
The Hills,The Weeknd,84,2015,0.585,0.564,-7.063,113.003,0
Starboy,The Weeknd,87,2016,0.679,0.587,-7.015,186.003,7
No Guidance (feat. Drake),Chris Brown,0,2019,0.698,0.454,-6.756,92.932,1
Best I Ever Had,Drake,0,2009,0.427,0.861,-4.874,161.776,1
Make Me Proud,Drake,21,2011,0.684,0.486,-10.155,131.913,1
"Hold On, We're Going Home",Drake,0,2013,0.776,0.413,-7.438,100.003,6
Passionfruit,Drake,80,2017,0.809,0.463,-11.377,111.98,11
How To Love,Lil Wayne,0,2011,0.644,0.661,-6.093,154.001,11
Good Feeling,Flo Rida,75,2012,0.706,0.89,-4.444,128.011,1
Titanium (feat. Sia),David Guetta,54,2011,0.604,0.788,-3.673,126.06,0
What's My Name?,Rihanna,49,2010,0.692,0.786,-2.959,100.025,2
Treasure,Bruno Mars,82,2012,0.874,0.692,-5.28,116.017,5
Don't You Worry Child - Radio Edit,Swedish House Mafia,78,2012,0.612,0.84,-3.145,129.042,11
Please Don't Go,Mike Posner,63,2010,0.699,0.882,-3.896,120.016,4
Sexy Can I (feat. Yung Berg),Ray J,0,2008,0.575,0.686,-6.008,172.132,1
Apologize,OneRepublic,66,2007,0.593,0.74,-6.12,118.008,8
Wide Awake,Katy Perry,74,2012,0.515,0.683,-5.099,159.878,5
Animal,Neon Trees,68,2010,0.482,0.833,-5.611,148.039,5
Maps,Maroon 5,82,2014,0.742,0.713,-5.522,120.032,1
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,1,2007,0.451,0.55,-8.137,80.001,1
